"Marriages and Divorces by marzes, years and indicators"

"marzes";"years";"Marriages acts, total";"Marriages, rate, per 1000 population"
"Kotayk  Marz";"2016";1412.0;5.6
"Kotayk  Marz";"2017";1284.0;5.1
"Kotayk  Marz";"2018";1298.0;5.2
"Shirak  Marz";"1996";1401.0;4.9
"Shirak  Marz";"1997";1122.0;3.9
"Shirak  Marz";"1998";1168.0;4.1
"Shirak  Marz";"1999";1200.0;4.2
"Shirak  Marz";"2000";941.0;3.3
"Shirak  Marz";"2001";1095.0;3.9
"Shirak  Marz";"2002*";1140.0;4.1
"Shirak  Marz";"2003*";1347.0;4.8
"Shirak  Marz";"2004*";1333.0;4.8
"Shirak  Marz";"2005*";1297.0;4.8
"Shirak  Marz";"2006*";1312.0;4.9
"Shirak  Marz";"2007*";1311.0;4.9
"Shirak  Marz";"2008*";1371.0;5.2
"Shirak  Marz";"2009*";1497.0;5.8
"Shirak  Marz";"2010*";1392.0;5.4
"Shirak  Marz";"2011*";1570.0;6.2
"Shirak  Marz";"2012";1399.0;5.6
"Shirak  Marz";"2013";1352.0;5.4
"Shirak  Marz";"2014";1489.0;6.0
"Shirak  Marz";"2015";1278.0;5.2
"Shirak  Marz";"2016";1048.0;4.3
"Shirak  Marz";"2017";927.0;3.9
"Shirak  Marz";"2018";938.0;4.0
"Syunik  Marz";"1996";680.0;4.5
"Syunik  Marz";"1997";558.0;3.7
"Syunik  Marz";"1998";507.0;3.4
"Syunik  Marz";"1999";481.0;3.2
"Syunik  Marz";"2000";434.0;2.9
"Syunik  Marz";"2001";448.0;2.9
"Syunik  Marz";"2002*";498.0;3.3
"Syunik  Marz";"2003*";583.0;3.9
"Syunik  Marz";"2004*";758.0;5.1
"Syunik  Marz";"2005*";696.0;4.7
"Syunik  Marz";"2006*";685.0;4.6
"Syunik  Marz";"2007*";700.0;4.8
"Syunik  Marz";"2008*";735.0;5.1
"Syunik  Marz";"2009*";712.0;4.9
"Syunik  Marz";"2010*";694.0;4.9
"Syunik  Marz";"2011*";751.0;5.3
"Syunik  Marz";"2012";735.0;5.2
"Syunik  Marz";"2013";749.0;5.3
"Syunik  Marz";"2014";752.0;5.4
"Syunik  Marz";"2015";690.0;4.9
"Syunik  Marz";"2016";672.0;4.8
"Syunik  Marz";"2017";640.0;4.6
"Syunik  Marz";"2018";591.0;4.3
"Vayots Dzor Marz";"1996";282.0;4.7
"Vayots Dzor Marz";"1997";256.0;4.3
"Vayots Dzor Marz";"1998";211.0;3.6
"Vayots Dzor Marz";"1999";233.0;4.0
"Vayots Dzor Marz";"2000";248.0;4.3
"Vayots Dzor Marz";"2001";266.0;4.7
"Vayots Dzor Marz";"2002*";251.0;4.5
"Vayots Dzor Marz";"2003*";267.0;4.8
"Vayots Dzor Marz";"2004*";279.0;5.1
"Vayots Dzor Marz";"2005*";271.0;5.0
"Vayots Dzor Marz";"2006*";273.0;5.0
"Vayots Dzor Marz";"2007*";274.0;5.1
"Vayots Dzor Marz";"2008*";312.0;5.8
"Vayots Dzor Marz";"2009*";337.0;6.3
"Vayots Dzor Marz";"2010*";303.0;5.8
"Vayots Dzor Marz";"2011*";363.0;6.9
"Vayots Dzor Marz";"2012";370.0;7.1
"Vayots Dzor Marz";"2013";358.0;6.9
"Vayots Dzor Marz";"2014";325.0;6.3
"Vayots Dzor Marz";"2015";351.0;6.9
"Vayots Dzor Marz";"2016";356.0;7.1
"Vayots Dzor Marz";"2017";285.0;5.7
"Vayots Dzor Marz";"2018";274.0;5.6
"Tavush Marz";"1996";704.0;5.1
"Tavush Marz";"1997";557.0;4.1
"Tavush Marz";"1998";550.0;4.1
"Tavush Marz";"1999";558.0;4.1
"Tavush Marz";"2000";517.0;3.8
"Tavush Marz";"2001";533.0;4.0
"Tavush Marz";"2002*";563.0;4.2
"Tavush Marz";"2003*";640.0;4.8
"Tavush Marz";"2004*";763.0;5.8
"Tavush Marz";"2005*";646.0;4.9
"Tavush Marz";"2006*";699.0;5.3
"Tavush Marz";"2007*";717.0;5.5
"Tavush Marz";"2008*";672.0;5.2
"Tavush Marz";"2009*";693.0;5.4
"Tavush Marz";"2010*";602.0;4.7
"Tavush Marz";"2011*";705.0;5.5
"Tavush Marz";"2012";735.0;5.7
"Tavush Marz";"2013";633.0;5.0
"Tavush Marz";"2014";632.0;5.0
"Tavush Marz";"2015";619.0;4.9
"Tavush Marz";"2016";648.0;5.2
"Tavush Marz";"2017";534.0;4.3
"Tavush Marz";"2018";515.0;4.2
